,Instância,BKS,$\alpha$,F.O. GRASP,STDEV GRARSP,GAP$_\mathrm{GRASP}$,Valor F.O.,Valor FO STDEV,GAP$_\mathrm{G+LS}$ (\%),Tempo (s.),,
51,VFR10\_15\_1,1307,1,1528.7,75.588,16.96,1342.2,28.867,2.69,$1.5 \pm 0.03$,,
52,VFR100\_60\_1,9395,1,11312.1,187.334,20.41,10057.8,55.519,7.05,$58.2 \pm 0.99$,,
53,VFR20\_10\_3,1592,1,2007.5,64.24,26.1,1682.7,24.157,5.7,$2 \pm 0.04$,,
54,VFR20\_20\_1,2270,1,2787.7,84.592,22.81,2366.9,38.766,4.27,$3.9 \pm 0.07$,,
55,VFR500\_40\_1,28548,1,33522.1,494.424,17.42,30741.5,113.56,7.68,$200.9 \pm 7.53$,,
56,VFR500\_60\_3,31125,1,36327,354.164,16.71,33530.5,65.58,7.73,$298.7 \pm 2.61$,,
57,VFR60\_10\_3,3423,1,4390.9,136.315,28.28,3626.3,54.214,5.94,$6 \pm 0.09$,,
58,VFR60\_5\_10,3663,1,3914,87.271,6.85,3665.6,1.897,0.07,$3.1 \pm 0.05$,,
59,VFR600\_20\_1,31433,1,35964.1,425.271,14.42,32990.1,97.588,4.95,$122.6 \pm 7.68$,,
60,VFR700\_20\_10,36417,1,41214.5,385.111,13.17,37807.6,124.189,3.82,$139.8 \pm 2.51$,15781.12,17296.86
